,Description,Classificació
2914,"A pesar de ser un any complicat, el camp ha rebut les pluges de la primavera amb moltes ganes i ja es preveu que serà una bona temporada. Hui volem fixarnos en una collita que comença. La dels arrossars. Els convidem a fer un recorregut pel cicle de l'aigua del Xúquer des del riu fins a tocar la marjal.  En un any de portes tancades, les de l’Assut d’Antella s’han obert més tard que altres voltes. És l’aigua qui mana. I tanta pluja ha caigut que la terra de reg no ha patit tanta sed com en altres ocasions.Ambient El Xúquer ix del seu confinament.Ambient Si el riu fora un cor, la seua artèria principal seria la Séquia Reial. Un camí d’aigua amb 52 quilòmetres de circulació. Que connecta en 20 pobles, a qui dona a beure.Ambient La desescadalada comença amb una séquia ampla que estreta a mesura que baixa per les dos Riberes i l’Horta. Ambient partidor Un toll d’aigua que alimenta les collites. Un toll d’aigua que corre fins als arrossars. Ambient tall de veu. La terra l’espera amb ganes de contacte. Sense distanciament que valga. Amb l’ànsia de vore’s negada, conquerida. Un aigua que bota d’una bassa a una altra, com si d’un canvi de fase es tractara.A peu de camp, la paciència de qui espera que després de l’aigua vinga alguna cosa més. Que la llavor done fruit. Que l’esforç tinga recompensa. El reflexe del que demanem; que passe el temps volant i que vinga el millor… ambient I durant l’espera observem que els colors són cada volta més. Que s’acaba la tonalitat més fosca. Ambient so Que els sons són distints. I que es trenquen els silencis. Tall de veu. En qüestió de dies, ni tan sols una quarantena, l'aigua que naix al riu acabarà alimentant l’arròs, I després tocarà l’Albufera. És el final d'un trajecte. Que tornarà a repetirse, passe el que passe. Perquè el cicle de l'aigua no s'atura. Font de vida, lliure, i aïllada",MEDI AMBIENT
2916,"Quasi tot el país passa a la següent fase de la desescalada a partir de dilluns perquè, segons ha dit el primer ministre, els resultats són un poc millors dels esperats.Al Regne Unit també hi haurà avanços, però molt més tímids perquè encara conten els morts per centenars. Fins ara quasi la meitat de França estava en el que allí anomenen fase roja. Ara només dos departaments perquè, segons el primer ministre, els resultats són un poc millor dels esperats.ambientA partir de dilluns alçaran la persiana bars i restaurants a tot el territori nacional, excepte a París, on només reobrin terraces.També es permetrà la circulació per tot el país. Les reunions socials continuen limitades a un màxim de deu persones.ambientEuropa avança i això inclou viatjar, encara que pocs s'atrevixen encara. A Roma, hem vist enormes panells informatius i controls de temperatura.ambientUn gran dispositiu de seguretat, diu el director.ambientAl Regne Unit reobri el sistema educatiu, a partir de dilluns, i també els comerços a l'aire lliure.""Amics i familiars poden començar a vore's, però a l'aire lliure, no en domicilis si no són de la mateixa família.Progressos tímids perquè 377 persones han mort durant les últimes hores per un virus que mata quasi dos voltes més a la població negra i asiàtica.ambientAls hospitals el personal sanitari s'esforça per despedir les víctimes amb dignitat.",MEDICINA I SANITAT
2919,"ESTA VESPRADA, un incendi a l'Hospital d'Hellín, a AlbaSete, ha obligat a desallotjar 150 persones. El foc ha començat al soterrani, però encara s'està investigant què l'ha causat. 44 pacients han sigut traslladats a altres hospitals pròxims, i a la resta se'ls està atenent al poliesportiu de la població. L'incendi encara està actiu, però els bombers el tenen perimetrat.DESALLOTGEN 150 PERSONES DE L'HOSPITAL D'HELLÍN",ACCIDENTS I CATÀSTROFES
2920,"esta vesprada, un comentari d'una diputada de Vox, desencadenava la segona picabaralla del dia entre membres d'Unides Podem i el partit d'extrema dreta:TALL VOX + UPUnes paraules que han fet que intervinguera de nou Patxi López:TALL PATXI LÓPEZFinalment, el president de la comissió ha llançat un missatge d'atenció i ha demanat a la resta de diputats compromís polític:TALL PATXI LÓPEZ ",POLÍTICA
2923,"En l'Hèrcules, Quique Hernández ha presentat la dimissió.Quatre mesos després de tornar a la presidència del conjunt alacantí, deixa el càrrec pel canvi de rumb del club.Les relacions es trencaren del tot amb la proposta d'un nou director esportiu que no va ser acceptada pels màxims accionistes del club, Juan Carlos Ramírez i Enrique Ortiz. L'Hèrcules es queda sense president i amb un projecte ple de dubtes.QUIQUE HERNÁNDEZ DIMITIX COM A PRESIDENT",ESPORTS
2924,"La notícia arriba només unes hores després de saberse que el 84 per cent dels municipis de la Comunitat Valenciana no ha tingut cap cas de COVID19 durant els últims 14 dies.Són 454 poblacions lliures de la malaltia en estos moments. És la xifra més positiva que dibuixen les dades de la pandèmia poble a poble al nostre territori i que esta vesprada ha donat a conéixer la conselleria de Sanitat Universal. Entre les poblacions que han notificat més casos en les dos últimes setmanes, deixant a banda les grans capitals, destaca el cas de Borriana, amb 8 casos. La localitat de la Plana Baixa B es perfila com a un dels municipis valencians on el virus s'ha encarnissat, amb 281 casos i 37 morts. També crida l'atenció el cas de Benidorm, amb 383 casos positius des de l'inici de la pandèmia i 66 morts. Les poblacions on s'han concentrat les defuncions coincidixen amb la presència en el municipi de residències d'ancians. Són els casos d'Alcoi, Torrent o Morella.RÈTOL: EL 84% DELS MUNICIPIS VALENCIANS, SENSE COVID19 ELS ÚLTIMS 15 DIES",MEDICINA I SANITAT
2925," Este matí, els periodistes gràfics han protestat per tot Espanya. A la Comunitat Valenciana hem vist estes manifestacions davant les portes de la Ciutat Esportiva del València i també enfront de l'estadi de la Ceràmica, a Vilareal. A Madrid i a Sevilla també hi ha hagut concentracions contra les dures restriccions que impedeixen gravar fins i tot els entrenaments des de la distància.PROTESTES PEL MONOPOLI INFORMATIU DE LA LLIGA",MITJANS DE COMUNICACIÓ
2926,"Hui, en el Dia Internacional de la Nutrició, posem l'accent en l'efecte que ha tingut el confinament en la nostra dieta. El 70% de les consultes als nutricionistes ha sigut per a perdre pes. Ha sigut la pregunta més repetidaCom perdre pes després del confinament.TOTALSNUTRILa limitació de la mobilitat, la falta d'activitat física i l'exposició constant a aliments ha passat facturaXXXReconeixen que ha sigut difícil no caure en la tentació d'anar a la neveraGENTQui més ha fet este tipus de consultes; dones entre 35 i 50 anys.GENTEls experts alerten que estos ""mals hàbits"" poden acabar en casos de sobrepés i d'obesitat.NUTRI PERILLSEl Col·legi Oficial de Nutricionistes de la Comunitat Valenciana ha publicat una guia amb recomanacions.XXXXPer a tornar a la senda dels bons hàbits.www.codinucova.es EL 70% DE LES CONSULTES SÓN SOBRE COM APRIMARSE",MEDICINA I SANITAT
2927,"Roberto Bautista, el millor tenista en actiu de la Comunitat Valenciana, es posa a punt per a tornar a la competició a les pistesde l'acadèmia de Juan Carlos Ferrero a Villena. Hui l'hem acompanyat en l'entrenament i amb ell hem parlat sobre l'actualitat del tenis internacional a l'espera que el 15 de juny es faça oficial el nou calendari de l'ATP.BAUTISTA, BOIG PER TORNAR A COMPETIR",ESPORTS
2928,"I un altre protagonista de l'actualitat esportiva també ha passat hui pels micròfons d'À Punt. Jaume Ponsarnau , l'entrenador del València Basket, ens ha atés l'endemà que València fora elegida seu de la final de l'ACB, que es disputarà del 17 al 30 de juny. El tècnic taronja defensa que s'han triat les instal·lacions amb les màximes garanties sanitàries.PONSARNAU VALORA EN À PUNT LA TRIA DE VALÈNCIA",ESPORTS
2930,"AMBIENT ROBERTO BAUTISTA 3"" Tornarem a vore esta imatge de tenis oficialAMBIENT A VILLENA 2"" Però, de moment,la pilota sí torna a sonar a Villena, a l'Acadèmia de Juan Carlos Ferrero on prompte els tenistes podran tornar a competir UN TORNEIG EXHIBICIÓ EN EL QUE PUGUEN COMPETIR ELS DONA UN AIRE DE MOTIVACIÓ QUE HO NECESSITEN Serà la primera setmana del juliol, amb algunes de les millors joves raquetes del Circuit, com ara Pablo Carreño, l'australià afincat a Alacant Alex De Minaur, Alejandro Davidovic o el murcià Carlos Alcaraz.El nostre millor tenista, Roberto Bautista, que s'entrena a Villena, també hi estarà, i reconeix que han sigutTALL ROBERTO ""MOLTS DIES PARATS, MOLTS DIES A CASA ESTEM TORNANT A LA NORMALITAT A POC"" El de Benlloc ha parlat hui per a À Punt i s'ha referit a la tornada del Circuit. L'ATP ho anunciarà el 15 de juny TALL BAUTISTA JO SOC OPTIMISTA COM A MOLT TARD TORNAREM AL SETEMBRE"" Però encara mésL'ATP ESTÀ LLUITANT PERQUÈ TORNEM AL MÉS PROMPTE POSSIBLE I CREC QUE FINS I TOT TORNAREM A JUGAR A L'AGOST L'ORGANITZACIÓ DE L'ATP ESTÀ DISPOSADA A INTENTARHO"" Per a Ferrero, la cosa no pinta tant béTALL FERRERO NO ES FACIL COMENÇAR UNA ALTRA VOLTA A ORGANITZAR ELS TORNEJOS PERQUÈ EL TENIS ÉS MOLT GLOBAL I AMB TENISTES DE TOT EL MÓN I, com molts jugadors, veu la solució en el fet queTALL FERRERO MENTRE NO HI HAJA UNA VACUNA O S'ARREGLE UNA MICA MÉS, ÉS DIFÍCIL COMENÇARTORNEIG D'EXHIBICIÓ AL JULIOL A VILLENA EL 15 DE JUNY SE SABRÀ QUAN ES REPRÉN EL CIRCUIT ROBERTO BAUTISTA, EN À PUNT",ESPORTS
2931,"I LA MAla notícia econòmica arribava anit des de Catalunya. La Nissan tancaAmb crits, crema de pneumàtics, tall de carreteres, fins i tot de la Gran Via de Barcelona Així han protestat els treballadors de Nissan després que l'empresa japonesa haja anunciat el tancament de les tres plantes que té a Catalunya. Una mesura que significa el comiat directe de 3.000 persones, i de 20.000 més d'empreses auxiliars.NISSAN TIRA AL CARRER 23.000 TREBALLADORS",INDÚSTRIA
2932,"La Unió Europea destinarà més de 56 milions d'euros a les ajudes per a les regions afectades per la Dana de setembre Els diners es repartiran entre la Comunitat Valenciana, Múrcia, Castellala Manxa i Andalusia, i serviran per a reemborsar la despesa que ja van avançar les administracions amb les ajudes d'emergència. Només al Baix Segura el temporal va causar un impacte de més de 1.500 milions d'euros. 5.000 persones van haver de ser evacuades i 25.000 hectàrees de cultius es van vore afectades.",ACCIDENTS I CATÀSTROFES
2934,"Cada dia la Covid19 obri nous interrogants. Hui ens preguntem si la cultura de la tapa i de picar estan en perill d'extinció. La normativa, fins ara, no entra al detall, però ja hi ha algunes guies, a Madrid per exemple, que desaconsellen les racions.RACIONS INDIVIDUALS, UNA OPCIÓ POSTCONFINAMENT LES TAPES I LES RACIONS ESTAN EN QUARANTENA",TURISME
2935,"La ludopatia representa un greu problema social. El nombre de persones amb esta patologia augmenta any rere any.De fet, hi ha un 60% més de valencians afectats per la ludopatia que fa 5 anys. Pel que fa als locals de joc, segons l’últim Anuari del Joc, el 2018 hi havia a Espanya més de 3.500 locals.A la Comunitat Valenciana, entre 2012 i 2019 els locals de joc augmentaren més del doble, i en molts casos estaven situats a poca distància de centres educatius.Pel que fa al joc en línia, el 2018 es jugaren a Espanya més de 2.500 milions d’euros, amb una mitjana de 900.000 persones jugadores cada mes.",MEDICINA I SANITAT
2937,"El Palau de les Arts comença la desescalada. Després de dos mesos, una desena d'artistes han pogut assajar junts per primera vegada, seguint l'estricte protocol de seguretat. Són els alumnes del Centre de perfeccionament, que tot este temps han hagut de continuar la formació a distància i ara per fi es retroben en l'assaig de l'adaptació al valencià de l'òpera bufa 'Il tutore burlato'.I en este cas, també hi ha un repte afegit per als intèrprets que venen d'altres països. L'òpera bufa 'Il tutore burlato' està adaptada al valencià.AMBIENTAra, el que més desitgen és poder actuar davant del públic.TALLPerò encara no hi ha data per donar un pas més en esta desescalada.",MÚSICA
2939,"La primera edició del concurs de composició de pasdobles del programa 'De banda a banda', de la ràdio d'À Punt, ja té la partitura guanyadora.L'autora és Andrea Picó, compositora de Benilloba, al Comtat, que rebrà un premi de mil euros i participarà en l'espai el pròxim dissabte, 6 de juny. Segons el programa, la participació ha sigut un èxit. S'hi han presentat 25 pasdobles. Ara preparen la gravació de l'obra guanyadora, que es dirà 'De banda a banda'.ANDREA PICÓ GUANYA EL CONCURS 'DE BANDA A BANDA'",MÚSICA
